Place,race_number,team,car_no,lap_end_state,lap_progress,lap_time,Delta
1,2,RB,99,lap_complete,100.0,9.553439140319824,
2,2,Artificial Racer,88,lap_complete,100.0,9.959578275680542,0.4061391353607178
3,2,SpeedRacer,77,lap_complete,100.0,10.120017766952515,0.16043949127197266
4,2,GhostRiderz,66,lap_complete,100.0,11.753989458084106,1.6339716911315918
5,2,Flying Iceman,44,lap_complete,100.0,11.761170625686646,0.0071811676025390625
6,2,BlueStreak,05,lap_complete,100.0,12.23304295539856,0.47187232971191406
7,2,T Minus 10,10,lap_complete,100.0,12.730960845947266,0.49791789054870605
8,2,Lightning McQueen,95,lap_complete,100.0,12.749767303466797,0.01880645751953125
9,2,Baby Step,28,lap_complete,100.0,14.587353706359863,1.8375864028930664
10,2,PIMParticle,11,lap_complete,100.0,15.26387071609497,0.6765170097351074
11,2,Storm,35,lap_complete,100.0,17.038735151290894,1.7748644351959229
